path,sentence
844424931309515-1116-f.m4a,पुरानी तस्वीर को पश्चिम बंगाल की बाढ़ग्रस्त सड़क का दृश्य बताकर फर्जी पोस्ट शेयर
844424930841696-70-f.m4a,सत्याम घोटाले मामले में आरोपी रामलिंग राजू को 7 साल की जेल
844424931309465-1116-f.m4a,गिरफ्तार किए गए लोग मुंशीगंज श्रीनगर थाना के कोलापारा गांव के मृत जलाल शेख के बेटे मो
844424931185305-1116-f.m4a,नवमी की सुबह बर्धमान के गलसी में राष्ट्रीय सड़क पर दर्दनाक दुर्घटना में बेहाला के पांच निवासी मारे गए
844424931309430-1116-f.m4a,अपने मृत बच्चे को दफनाने गए तो मिट्टी के नीचे से जीवित नवजात बच्ची मिली
844424931185294-1116-f.m4a,उत्कृष्ट अभिनेता बनने का रास्ता और बेहतर इंसान बनने का रास्ता तब एक जैसा था
844424931309505-1116-f.m4a,शिशु मृत्यु दर रोकने के लिए मिशन इंद्रधनुष लॉन्च किया केंद्र सरकार ने
844424931382763-1116-f.m4a,प्रशिक्षण कोर्स के उद्घाटन में भाषण दे रहे बैंक के अतिरिक्त प्रबंधन निदेशक और सीबीओ मो
844424931382803-1116-f.m4a,शेफर का शरीर इतनी बुरी तरह क्षत-विक्षत हो गया कि पहले उसे पहचानना मुश्किल था
844424931185282-1116-f.m4a,जीवित बैक्टीरिया में मौजूद जानकारी की मदद से पुनर्प्राप्ति संभव होगी
844424931309527-1116-f.m4a,और यह पहली बार था जब भारत में 5 लाख से अधिक टेस्ट एक दिन में हुए
844424931034384-760-f.m4a,अनोखा बाग बनाकर हरित क्रांति का संदेश दे रहे हैं दमदम के राणा दा
844424931309440-1116-f.m4a,सऊदी युवराज बिन सलमान के साथ प्रेस कॉन्फ्रेंस में इमैनुएल मैक्रों
844424931029511-760-f.m4a,अस्पताल जाते समय एंबुलेंस में ही कोविड से पीड़ित महिला यौन उत्पीड़न की शिकार हुई
844424931382755-1116-f.m4a,भ्रष्टाचारियों को अस्वीकार करने और आतंकवाद को ना कहने का आह्वान किया खाद्य मंत्री एडवोकेट ने
844424931285092-906-f.m4a,शिक्षक के निलंबन की पुष्टि करते हुए जिला प्राथमिक शिक्षा अधिकारी मो
844424931185317-1116-f.m4a,बारिश हो सकती है कोलकाता और उसके आस-पास के जिलों में। उत्तर और दक्षिण दिनाजपुर में छिटपुट बारिश होगी
844424931285068-906-f.m4a,डीजी सुरजीत के समान वेतन मांगते हुए वरिष्ठ अधिकारियों का पत्र नबन्ना पहुंचा
844424931382791-1116-f.m4a,बिग बॉस में आने के लिए जेनिफर को लगभग 3 करोड़ रुपये का ऑफर दिया गया था
844424931309496-1116-f.m4a,अलमडांगा में 2 यूपी चेयरमैन को सम्मानित किया गया और चिटला यूपी चेयरमैन के घर पर बम हमला की निंदा और विरोध
844424931034352-760-f.m4a,फेसबुक का इस्तेमाल करना हो तो अब से इन नियमों का पालन करना होगा
844424930757933-661-f.m4a,चटगांव इंजीनियरिंग यूनिवर्सिटी ऑफ टेक्नोलॉजी का उद्घाटन और बांग्लादेश स्वतंत्रता दिवस का उत्सव
844424931185316-1116-f.m4a,प्रेस कॉन्फ्रेंस में डिटेक्टिव पुलिस के मीरपुर डिवीजन के अतिरिक्त उप आयुक्त मो
844424931382742-1116-f.m4a,दिल्ली चुनाव के उम्मीदवार चयन पर अमित शाह के घर पर 7 घंटे की मैराथन बैठक में बीजेपी नेता
844424931034409-760-f.m4a,4 लोगों को भोपाल से दिल्ली लाने के लिए पूरे एयरबस को किराए पर लिया गया
844424931309529-1116-f.m4a,रिक्शा में चढ़ने से पहले मेरे घर के लंबे समय से विश्वस्त कर्मचारी मो
844424931285055-906-f.m4a,विश्व इज्तेमा में सूरज और जन्नत नामक 2 बच्चे मिले
844424931029480-760-f.m4a,कोरोना वायरस की स्थिति और बिगड़ने पर सरकार ने बांग्लादेश के नागरिकों समेत अन्य देशों के लोगों को चीन से ए
844424931029431-760-f.m4a,कुल 59 लाख रुपये कोरोना से लड़ने के लिए दान दिए पूर्व भारतीय कप्तान ने
844424931285038-906-f.m4a,घोड़े के साथ फोटोशूट का विचार शादी के फोटोग्राफी तक ही सीमित नहीं है
844424931309525-1116-f.m4a,बंगाल के श्रमिकों की सुरक्षा के लिए एमओयू समझौता किया जाएगा विभिन्न राज्यों के साथ
844424931382794-1116-f.m4a,नैतिक एक विरोधाभास है कि कुछ भी अनैतिक या नैतिक हो सकता है
844424930757926-661-f.m4a,धर्म का अपमान करने के आरोप से आसिया बीबी को बरी किए जाने पर पांच हजार से अधिक प्रदर्शनकारियों के खिलाफ मामला दर्ज
844424931029429-760-f.m4a,इस दौरान विज्ञान और प्रौद्योगिकी मंत्रालय के वरिष्ठ सचिव इंजीनियर मो
844424931323292-906-f.m4a,मोहम्मद नसीम को संयोजक बनाकर इस समिति के सदस्य सचिव बने डॉ
844424931323301-906-f.m4a,सुनवाई के बाद अदालत ने अगले साल 17 जनवरी को सिविल सर्जन डॉ
844424931309484-1116-f.m4a,उसी समय अचानक पीछे से तेज गति से एक लोरी ने टक्कर मारी
844424931382737-1116-f.m4a,रोजा रखते समय वे कई बार समस्याओं का सामना करते हैं
844424931285073-906-f.m4a,"इस घटना में मामला दर्ज किया गया है, ऐसा बताया मो"
844424931449831-906-f.m4a,नए लोगों को टेरिटोरी ऑफिसर के पद पर नियुक्त कर रहा है ब्रिटिश अमेरिकन टोबैको
844424931382815-1116-f.m4a,सीरिया में मारे गए सैनिकों के शव प्राप्त करने के बाद उन्हें सम्मान दे रहे ट्रंप और पोंपिओ
844424931309506-1116-f.m4a,दाउदकांडी उपजिला कार्यकारी अधिकारी कमरुल इस्लाम खान की अध्यक्षता में उपस्थित थे आ
844424931382748-1116-f.m4a,विजय दिवस की पहली प्रहर में रात 12:01 बजे वाइस चांसलर प्रोफेसर डॉ
844424931323242-906-f.m4a,टीम गेम को हथियार बनाकर इस बार के रणजी में बंगाल अश्वमेध के घोड़े जैसा लग रहा है
844424931323272-906-f.m4a,ओहायर के सहयोग से डीएमपी मुख्यालय में 23 वॉटर प्योरिफायर और डिस्पेंसर लगाए गए
844424931285089-906-f.m4a,इस कानून को चुनौती देते हुए कई मुकदमे सुप्रीम कोर्ट में दर्ज किए गए
844424930841711-70-f.m4a,अरब सागर के किनारे नीरव मोदी के 100 करोड़ के बंगले को तोड़ना शुरू किया गया
844424931309487-1116-f.m4a,अहले सुन्नत के मालिकी मज़हब के संस्थापक मालिक इब्न अनस ने कहा
844424930757939-661-f.m4a,भारत में हर साल सबसे ज्यादा लोग कोबरा के डसने से मरते हैं
844424931185289-1116-f.m4a,यात्रा शुरू होने के एक दिन बाद ही वंदे भारत एक्सप्रेस ठप हो गई
844424930841706-70-f.m4a,करवा चौथ पर पत्नियों के लिए उपवास करते हैं ये बॉलीवुड सितारे भी
844424931285074-906-f.m4a,कार्यक्रम में मुख्य प्रायोजक के रूप में भाषण दिया खुलना यूनिवर्सिटी के वाइस चांसलर प्रोफेसर डॉ
844424931309501-1116-f.m4a,विदेश में बांग्लादेश के राजनयिक मिशनों को हर दिन 24 घंटे काउंसलर सेवा देने का निर्देश दिया विदेश मंत्री डॉ
844424930757913-661-f.m4a,बाल पोर्नोग्राफी कराने के जुर्म में 2017 में गिरफ्तार हुआ ऑस्टिन जोन्स
844424931034422-760-f.m4a,और उन्नीसवें दिन धरना प्रदर्शन में शामिल होकर समर्थन का संदेश दिया बीजेपी नेता शंकुदेव ने
844424931449808-906-f.m4a,इस वीडियो कॉन्फ्रेंस के लिए सभी प्रबंध राज्य को करने का निर्देश दिया गया
844424931449846-906-f.m4a,ऐसे और हजारों उदाहरण कहानियों में बिखरे पड़े हैं
844424931029452-760-f.m4a,रात 8:30 बजे कोचिंग सेंटर के मालिक और डायरेक्टर मो
844424931309478-1116-f.m4a,उनके साथ कुछ मुद्दों पर असहमति व्यक्त करते हुए अलग फैसला दिया जस्टिस मो
844424931285056-906-f.m4a,"प्रधानमंत्री राहत कोष में 13,000 रुपये दान किए जमालपुर के गरीब रिक्शा चालक मो ने"
844424931309514-1116-f.m4a,ढाका यूनिवर्सिटी के बायोमेडिकल रिसर्च सेंटर के पूर्व डायरेक्टर और फार्मेसी विभाग के प्रोफेसर डॉ
844424930841743-70-f.m4a,पहली पश्चिम बंगाल यात्रा के लिए राष्ट्रपति के प्रति आभार व्यक्त किया
844424931285070-906-f.m4a,सखीपुर में व्यापारी रज्जाक की हत्या का मुख्य आरोपी बुरखा पहनकर पकड़ा गया
844424931185321-1116-f.m4a,अध्यक्षता की सम्मेलन समिति के संयोजक और भूगोल और पर्यावरण विभाग के प्रमुख प्रोफेसर डॉ
844424931382735-1116-f.m4a,निक और प्रियंका के दिल्ली रिसेप्शन में खुद प्रधानमंत्री नरेंद्र मोदी मौजूद थे
844424931034398-760-f.m4a,पढ़िए और अपने छोटे लोगों के साथ यह बात जरूर साझा कीजिए
844424931449830-906-f.m4a,मस्जिद में नमाज पढ़ने न जाकर घर पर नमाज पढ़ने की बात सुनिश्चित करने के लिए इमामों के साथ बैठक
844424931449847-906-f.m4a,यह तय करें कि आपके लिए कौन सा विकल्प सबसे अच्छा है
844424931323247-906-f.m4a,थोड़ी दूरी के ब्रिज पर विसर्जन के दौरान धूमधाम में एक झलक नाच
844424931309524-1116-f.m4a,चीन के वुहान से फैले कोरोना वायरस से संक्रमित होकर
844424930757982-661-f.m4a,शाश्वत आश्चर्य और प्यार के साथ ग्रामीण महिला विश्व विजय की ओर बढ़ रही है
844424931185307-1116-f.m4a,इस बारे में स्थानीय प्रशासन मदद करे तो बेदखली के बाद फिर
844424931449832-906-f.m4a,रानी एलिजाबेथ द्वितीय ने अपने प्यारे कुत्ते विलोर की मौत पर दुख व्यक्त किया
844424931449786-906-f.m4a,अभिषेक बच्चन ने इंटरव्यू में कहा कि उन्हें नानी के हाथ की सरसों वाली मछली बेहद पसंद है
844424931382820-1116-f.m4a,सर्दियों में होने वाली कुछ समस्याओं और उनके आसान समाधानों के बारे में
844424931323263-906-f.m4a,"यहां तक ​​कि अगर वह अकेली हैं, तो भी उनके दिमाग में कुछ असामान्य चलता रहता है"
844424931029444-760-f.m4a,नकारात्मक तर्कहीन सोच और तर्कहीन विश्वास सोचने की त्रुटियां हैं
844424931382752-1116-f.m4a,स्थानीय पुलिस से अनुमति न मिलने पर राजधानी नयापल्टन में बीएनपी का केंद्रीय
844424931323265-906-f.m4a,इसके अलावा आतंकियों की गोलीबारी में स्थानीय चाय विक्रेता मोसा घायल हुए
844424930841720-70-f.m4a,सचिव पद के लिए वर्तमान समिति के संयुक्त महासचिव मो जोर-शोर से सिफारिश कर रहे हैं
844424931382775-1116-f.m4a,और वहां मौजूद थे संस्कृति मंत्रालय के संयुक्त सचिव मो
844424931309487-1116-f.m4a,अहले सुन्नत के मालिकी मज़हब के संस्थापक मालिक इब्न अनस ने कहा
844424930757939-661-f.m4a,भारत में हर साल सबसे ज्यादा लोग कोबरा के डसने से मरते हैं
844424931185289-1116-f.m4a,यात्रा शुरू होने के एक दिन बाद ही वंदे भारत एक्सप्रेस ठप हो गई
844424930841706-70-f.m4a,करवा चौथ पर पत्नियों के लिए उपवास करते हैं ये बॉलीवुड सितारे भी
844424931285074-906-f.m4a,कार्यक्रम में मुख्य प्रायोजक के रूप में भाषण दिया खुलना यूनिवर्सिटी के वाइस चांसलर प्रोफेसर डॉ
844424931309501-1116-f.m4a,विदेश में बांग्लादेश के राजनयिक मिशनों को हर दिन 24 घंटे काउंसलर सेवा देने का निर्देश दिया विदेश मंत्री डॉ
844424930757913-661-f.m4a,बाल पोर्नोग्राफी कराने के जुर्म में 2017 में गिरफ्तार हुआ ऑस्टिन जोन्स
844424931034422-760-f.m4a,और उन्नीसवें दिन धरना प्रदर्शन में शामिल होकर समर्थन का संदेश दिया बीजेपी नेता शंकुदेव ने
844424931449808-906-f.m4a,इस वीडियो कॉन्फ्रेंस के लिए सभी प्रबंध राज्य को करने का निर्देश दिया गया
844424931449846-906-f.m4a,ऐसे और हजारों उदाहरण कहानियों में बिखरे पड़े हैं
844424931285092-906-f.m4a,शिक्षक के निलंबन की पुष्टि करते हुए जिला प्राथमिक शिक्षा अधिकारी मो
844424931185317-1116-f.m4a,बारिश हो सकती है कोलकाता और उसके आस-पास के जिलों में। उत्तर और दक्षिण दिनाजपुर में छिटपुट बारिश होगी
844424931285068-906-f.m4a,डीजी सुरजीत के समान वेतन मांगते हुए वरिष्ठ अधिकारियों का पत्र नबन्ना पहुंचा
844424931382791-1116-f.m4a,बिग बॉस में आने के लिए जेनिफर को लगभग 3 करोड़ रुपये का ऑफर दिया गया था
844424931309496-1116-f.m4a,अलमडांगा में 2 यूपी चेयरमैन को सम्मानित किया गया और चिटला यूपी चेयरमैन के घर पर बम हमला की निंदा और विरोध
844424931034352-760-f.m4a,फेसबुक का इस्तेमाल करना हो तो अब से इन नियमों का पालन करना होगा
844424930757933-661-f.m4a,चटगांव इंजीनियरिंग यूनिवर्सिटी ऑफ टेक्नोलॉजी का उद्घाटन और बांग्लादेश स्वतंत्रता दिवस का उत्सव
844424931185316-1116-f.m4a,प्रेस कॉन्फ्रेंस में डिटेक्टिव पुलिस के मीरपुर डिवीजन के अतिरिक्त उप आयुक्त मो
844424931382742-1116-f.m4a,दिल्ली चुनाव के उम्मीदवार चयन पर अमित शाह के घर पर 7 घंटे की मैराथन बैठक में बीजेपी नेता
844424931034409-760-f.m4a,4 लोगों को भोपाल से दिल्ली लाने के लिए पूरे एयरबस को किराए पर लिया गया
844424930757976-661-f.m4a,जापा चेयरमैन के एकांत व्यक्तिगत सचिव और दल के नेता खालिद अख्तर पत्रकारों से
844424930841702-70-f.m4a,मास्टर्स परीक्षा के बाद 15 दिन तक ईबी के होस्टल में रह सकते हैं
844424930757897-661-f.m4a,नड़ाइल में विश्वविख्यात चित्रकार एसएम सुल्तान के 94वें जन्मजयंती पर समाधि पर पुष्पांजलि और चर्चा सभा
844424930841747-70-f.m4a,जिनेवा स्थित इस संगठन के एशिया-प्रशांत क्षेत्र में सदस्य बनने के लिए बांग्लादेश के अलावा
844424930757987-661-f.m4a,बाइजु बावरा फिल्म से रणवीर सिंह को हटाया निर्देशक ने
844424930757932-661-f.m4a,"बंगाल के दो पर्वतारोहियों को बचाने की कोशिश में जो समस्या आई, उसे निर्मल पुर्जा ने बताया"
844424930841745-70-f.m4a,नजरुल इस्लाम तालुकदार और जस्टिस के एम हाफिजुल आलम की हाईकोर्ट बेंच में एक रिपोर्ट
844424930841704-70-f.m4a,मृत 6 युवाओं के घर जाकर संवेदना जताई बियानीबाजार के जमीयत नेता
844424930757909-661-f.m4a,बंदूकधारी गार्ड के बिना भोजन के ट्रक सड़क पर नहीं उतारे जा सकते
844424930841730-70-f.m4a,कैरी फिशर के रूप में प्रिंसेस लिया को शानदार मूवी स्टार वार्स में
844424930757977-661-f.m4a,गोपालपुर डिग्री कॉलेज में शिक्षक भर्ती सांसद समेत कमेटी के खिलाफ घूस व्यापार का आरोप
844424931029480-760-f.m4a,कोरोना वायरस की स्थिति और बिगड़ने पर सरकार ने बांग्लादेश के नागरिकों समेत अन्य देशों के लोगों को चीन से ए
844424931029431-760-f.m4a,कुल 59 लाख रुपये कोरोना से लड़ने के लिए दान दिए पूर्व भारतीय कप्तान ने
844424931285038-906-f.m4a,घोड़े के साथ फोटोशूट का विचार शादी के फोटोग्राफी तक ही सीमित नहीं है
844424931309525-1116-f.m4a,बंगाल के श्रमिकों की सुरक्षा के लिए एमओयू समझौता किया जाएगा विभिन्न राज्यों के साथ
844424931382794-1116-f.m4a,नैतिक एक विरोधाभास है कि कुछ भी अनैतिक या नैतिक हो सकता है
844424930757926-661-f.m4a,धर्म का अपमान करने के आरोप से आसिया बीबी को बरी किए जाने पर पांच हजार से अधिक प्रदर्शनकारियों के खिलाफ मामला दर्ज
844424931029429-760-f.m4a,इस दौरान विज्ञान और प्रौद्योगिकी मंत्रालय के वरिष्ठ सचिव इंजीनियर मो
844424931323292-906-f.m4a,मोहम्मद नसीम को संयोजक बनाकर इस समिति के सदस्य सचिव बने डॉ
844424931323301-906-f.m4a,सुनवाई के बाद अदालत ने अगले साल 17 जनवरी को सिविल सर्जन डॉ
844424931309484-1116-f.m4a,उसी समय अचानक पीछे से तेज गति से एक लोरी ने टक्कर मारी
844424931382737-1116-f.m4a,रोजा रखते समय वे कई बार समस्याओं का सामना करते हैं
844424931285073-906-f.m4a,"इस घटना में मामला दर्ज किया गया है, ऐसा बताया मो"
844424931449831-906-f.m4a,नए लोगों को टेरिटोरी ऑफिसर के पद पर नियुक्त कर रहा है ब्रिटिश अमेरिकन टोबैको
844424931382815-1116-f.m4a,सीरिया में मारे गए सैनिकों के शव प्राप्त करने के बाद उन्हें सम्मान दे रहे ट्रंप और पोंपिओ
844424931309506-1116-f.m4a,दाउदकांडी उपजिला कार्यकारी अधिकारी कमरुल इस्लाम खान की अध्यक्षता में उपस्थित थे आ
844424931382748-1116-f.m4a,विजय दिवस की पहली प्रहर में रात 12:01 बजे वाइस चांसलर प्रोफेसर डॉ
844424931323242-906-f.m4a,टीम गेम को हथियार बनाकर इस बार के रणजी में बंगाल अश्वमेध के घोड़े जैसा लग रहा है
844424931323272-906-f.m4a,ओहायर के सहयोग से डीएमपी मुख्यालय में 23 वॉटर प्योरिफायर और डिस्पेंसर लगाए गए
844424931029445-760-f.m4a,विषयটি सुनिश्चित करते हैं सुप्रीम कोर्ट के स्पेशल ऑफिसर बैरिस्टर मो
844424931034386-760-f.m4a,दुकान के कोने में फंसे एक कुत्ते को बचाते हुए करंट लगने से मर गए मो
844424931323264-906-f.m4a,और कल तक कुल दो हजार 913 लोग लक्षण लेकर
844424931449841-906-f.m4a,इस शहर के अंदर अचानक हलचल में उदास एक गली
844424930841731-70-f.m4a,न्यूयॉर्क यात्रा के बाद कल रात तेहरान लौटे ईरान के विदेश मंत्री
844424931382756-1116-f.m4a,इस समय सीसीयू में कार्यरत थे मेडिसिन विभाग के सहायक रजिस्ट्रार डॉ
844424931309443-1116-f.m4a,हेमताबाद के विधायक की मौत की निष्पक्ष जांच की मांग बीजेपी के राज्य महासचिव रथींद्र नाथ बोस ने
844424931029469-760-f.m4a,एयरलाइन की गलती से फ्लाइट रद्द होने पर टिकट का पैसा लौटाना होगा
844424931029490-760-f.m4a,और पढ़ें विराट को पीछे छोड़ते हुए दूसरे सबसे तेज भारतीय के रूप में स्मृति मंधाना ने रिकॉर्ड बनाया
844424931285116-906-f.m4a,तौकीर की परीक्षा से एक घंटे पहले छात्रों के बीच वह प्रश्नपत्र बांटा गया
844424931034386-760-f.m4a,दुकान के कोने में फंसे एक कुत्ते को बचाते हुए करंट लगने से मर गए मो
844424931323264-906-f.m4a,और कल तक कुल दो हजार 913 लोग लक्षण लेकर
844424931449841-906-f.m4a,इस शहर के अंदर अचानक हलचल में उदास एक गली
844424930841731-70-f.m4a,न्यूयॉर्क यात्रा के बाद कल रात तेहरान लौटे ईरान के विदेश मंत्री
844424931382756-1116-f.m4a,इस समय सीसीयू में कार्यरत थे मेडिसिन विभाग के सहायक रजिस्ट्रार डॉ
844424931309443-1116-f.m4a,हेमताबाद के विधायक की मौत की निष्पक्ष जांच की मांग बीजेपी के राज्य महासचिव रथींद्र नाथ बोस ने
844424931029469-760-f.m4a,एयरलाइन की गलती से फ्लाइट रद्द होने पर टिकट का पैसा लौटाना होगा
844424931029490-760-f.m4a,और पढ़ें विराट को पीछे छोड़ते हुए दूसरे सबसे तेज भारतीय के रूप में स्मृति मंधाना ने रिकॉर्ड बनाया
844424931285116-906-f.m4a,तौकीर की परीक्षा से एक घंटे पहले छात्रों के बीच वह प्रश्नपत्र बांटा गया
844424932675128-725-f.m4a,कोरोना पॉजिटिव होने के बावजूद मरीजों का इलाज कर रहे शरियतपुर सिविल सर्जन ऑफिस के ड्यूटी मेडिकल ऑफिसर डॉ
844424931285091-906-f.m4a,अस्पताल न जाकर प्राइवेट पैथोलॉजी लैब में प्रैक्टिस करने का आरोप लगा एक डॉक्टर पर
844424933095886-725-f.m4a,अगर कुछ काम न आए तो सोने की मुद्रा बदलने से फायदा हो सकता है
844424931323317-906-f.m4a,लेकिन एंजेलीना जोली की तरह बनने के चक्कर में उन्होंने नीले रंग का लेंस पहना था
844424931285048-906-f.m4a,यह पहली बार है कि भारतीय क्रिकेट चयनकर्ता बनने के लिए विज्ञापन जारी किया गया है
844424931449852-906-f.m4a,हालांकि भविष्य में छोटे सुनामी भी आज के बड़े सुनामियों की भयावहता ला सकते हैं
844424932843785-725-f.m4a,आईपीएल में एमएस धोनी की शानदार कप्तानी के कुछ उदाहरण पेश किए गए
844424932804710-725-f.m4a,सरस्वती पूजा के अवसर पर राज्य सरकार के कर्मचारियों को लगभग एक सप्ताह की छुट्टी मिलने वाली है
844424932805243-725-f.m4a,आमंत्रण के बावजूद मुख्यमंत्री के राजभवन न आने पर राज्यपाल नाराज
